,TUCASEID,TEWHERE,TUACTDUR,PEEDUCA,PTDTRACE,TRCHILDNUM,TRSPPRES,TRDPFTPT,TEAGE,TESEX,TEIO1COW,TUDIARYDAY,Telecommuting,Education,Race,NumChild,Married,Gender,Fulltime
228,20030112020966,2,545,40,1,0,1,1,25,2,4,2,0,2,0,0,0,1,1
230,20030112020982,2,500,44,1,0,2,1,27,2,3,6,0,4,0,0,1,1,1
231,20030112020986,2,455,41,4,3,1,1,37,1,4,3,0,2,2,3,0,0,1
232,20030112020987,2,600,42,4,2,1,1,35,1,3,2,0,2,2,2,0,0,1
233,20030112020989,2,415,40,1,3,1,1,41,2,4,3,0,2,0,3,0,1,1
234,20030112020999,2,480,39,1,1,1,1,39,1,4,3,0,1,0,1,0,0,1
236,20030112021005,2,615,40,1,0,1,1,41,1,1,6,0,2,0,0,0,0,1
238,20030112021012,2,516,39,1,0,1,1,53,2,5,5,0,1,0,0,0,1,1
239,20030112021020,1,483,40,1,1,1,1,34,1,1,5,1,2,0,1,0,0,1
240,20030112021033,2,473,40,1,1,3,1,28,2,4,4,0,2,0,1,1,1,1
241,20030112021048,1,120,43,1,1,3,1,41,2,3,6,1,3,0,1,1,1,1
243,20030112021068,2,470,40,2,1,3,1,36,2,4,5,0,2,1,1,1,1,1
244,20030112021077,2,465,42,1,0,3,1,31,2,4,4,0,2,0,0,1,1,1
246,20030112021109,2,180,39,1,2,1,2,33,2,2,2,0,1,0,2,0,1,0
249,20030112021168,2,575,40,1,1,1,1,31,1,4,4,0,2,0,1,0,0,1
251,20030112021178,2,450,39,2,2,3,1,41,2,4,3,0,1,1,2,1,1,1
252,20030112021199,2,540,39,1,1,3,1,36,2,4,4,0,1,0,1,1,1,1
253,20030112021270,2,535,43,1,2,1,1,30,1,4,3,0,3,0,2,0,0,1
255,20030112021313,2,557,39,1,1,1,1,31,1,4,6,0,1,0,1,0,0,1
258,20030112021327,2,580,39,1,0,2,1,44,1,4,6,0,1,0,0,1,0,1
259,20030112021333,2,510,43,1,0,1,1,33,2,4,6,0,3,0,0,0,1,1
262,20030112021367,2,443,43,1,1,1,1,57,2,3,3,0,3,0,1,0,1,1
264,20030112021385,2,430,37,2,0,3,1,57,2,4,2,0,0,1,0,1,1,1
265,20030112021397,2,570,42,1,1,1,1,28,2,4,2,0,2,0,1,0,1,1
267,20030112021405,2,435,41,4,2,1,1,41,1,4,4,0,2,2,2,0,0,1
268,20030112021409,2,440,43,4,1,1,1,53,2,4,3,0,3,2,1,0,1,1
269,20030112021417,2,450,40,1,0,3,1,48,1,4,3,0,2,0,0,1,0,1
270,20030112021424,2,465,40,1,2,1,1,47,2,4,6,0,2,0,2,0,1,1
271,20030112021429,2,180,41,1,2,1,1,30,1,4,4,0,2,0,2,0,0,1
272,20030112021430,1,435,45,1,2,1,1,42,1,4,3,1,4,0,2,0,0,1
273,20030112021442,2,454,40,2,2,1,1,43,1,4,6,0,2,1,2,0,0,1
274,20030112021455,2,479,40,1,2,1,2,40,2,4,3,0,2,0,2,0,1,0
278,20030112021483,2,613,39,1,0,3,1,39,1,4,6,0,1,0,0,1,0,1
279,20030112021489,2,420,40,4,0,3,1,33,1,4,5,0,2,2,0,1,0,1
280,20030112021493,2,150,40,1,0,2,2,43,2,4,3,0,2,0,0,1,1,0
281,20030112021495,2,460,39,1,0,1,1,58,2,3,5,0,1,0,0,0,1,1
282,20030112021516,2,465,39,1,2,1,1,25,1,4,5,0,1,0,2,0,0,1
283,20030112021530,2,575,39,1,2,1,1,45,1,4,4,0,1,0,2,0,0,1
284,20030112021541,2,490,39,1,2,1,1,32,2,4,2,0,1,0,2,0,1,1
285,20030112021542,2,483,39,1,0,1,1,59,2,4,6,0,1,0,0,0,1,1
286,20030112021550,2,540,40,1,0,3,1,54,2,1,3,0,2,0,0,1,1,1
288,20030112021568,2,240,39,2,2,2,1,31,1,4,6,0,1,1,2,1,0,1
290,20030112021609,2,485,40,1,0,1,1,33,1,4,6,0,2,0,0,0,0,1
291,20030112021612,2,930,39,1,4,1,1,38,1,4,3,0,1,0,3,0,0,1
293,20030112021620,2,450,39,1,1,3,1,31,2,1,4,0,1,0,1,1,1,1
294,20030112021632,2,470,43,1,3,1,1,43,1,3,3,0,3,0,3,0,0,1
295,20030112021633,2,459,39,1,1,3,1,32,1,4,2,0,1,0,1,1,0,1
296,20030112021638,2,450,39,1,0,3,1,30,1,4,6,0,1,0,0,1,0,1
297,20030112021642,2,480,41,1,0,1,1,27,1,4,2,0,2,0,0,0,0,1
298,20030112021658,2,380,42,1,1,1,2,27,2,4,6,0,2,0,1,0,1,0
299,20030112021669,2,531,43,1,2,3,1,43,2,4,4,0,3,0,2,1,1,1
303,20030112021688,2,441,43,1,0,1,2,54,2,4,6,0,3,0,0,0,1,0
305,20030112021692,2,425,43,1,1,1,1,30,2,3,5,0,3,0,1,0,1,1
306,20030112021693,2,495,43,1,2,3,1,41,2,3,4,0,3,0,2,1,1,1
307,20030112021698,2,540,37,2,0,2,1,48,1,4,6,0,0,1,0,1,0,1
308,20030112021703,2,465,39,1,1,1,1,41,1,4,3,0,1,0,1,0,0,1
309,20030112021727,2,575,43,2,0,3,1,33,1,4,5,0,3,1,0,1,0,1
311,20030112021754,2,617,35,1,0,3,1,25,2,4,3,0,0,0,0,1,1,1
313,20030112021777,2,435,43,1,2,1,1,34,1,3,3,0,3,0,2,0,0,1
314,20030112021783,2,545,40,2,1,3,1,24,2,4,2,0,2,1,1,1,1,1
317,20030112021795,2,320,39,2,0,3,2,53,2,3,5,0,1,1,0,1,1,0
318,20030112021801,2,257,40,2,1,3,1,33,2,4,2,0,2,1,1,1,1,1
319,20030112021803,2,688,39,1,2,1,1,36,1,4,4,0,1,0,2,0,0,1
321,20030112021843,2,488,39,1,2,3,1,44,2,4,5,0,1,0,2,1,1,1
324,20030112021881,2,522,42,2,1,3,1,31,2,4,5,0,2,1,1,1,1,1
325,20030112021908,2,541,44,1,1,1,1,49,1,4,6,0,4,0,1,0,0,1
327,20030112021921,2,535,43,1,2,1,1,49,1,4,3,0,3,0,2,0,0,1
329,20030112021956,2,165,40,1,2,1,2,32,2,4,6,0,2,0,2,0,1,0
331,20030112021979,2,475,39,1,1,1,1,47,1,4,2,0,1,0,1,0,0,1
333,20030112022021,2,505,46,4,2,1,1,42,1,4,4,0,4,2,2,0,0,1
334,20030112022023,1,630,43,1,2,1,1,35,2,4,3,1,3,0,2,0,1,1
335,20030112022026,2,600,43,1,0,3,1,23,1,4,2,0,3,0,0,1,0,1
336,20030112022031,2,490,39,1,2,1,1,36,1,4,4,0,1,0,2,0,0,1
337,20030112022040,2,495,42,1,2,1,1,43,2,4,2,0,2,0,2,0,1,1
341,20030112022082,2,635,43,1,0,1,1,55,1,4,2,0,3,0,0,0,0,1
342,20030112022086,2,465,40,1,0,3,1,21,2,4,5,0,2,0,0,1,1,1
343,20030112022091,2,477,43,1,2,1,1,31,1,3,5,0,3,0,2,0,0,1
344,20030112022095,2,390,40,1,2,1,2,41,2,4,3,0,2,0,2,0,1,0
346,20030112022106,2,500,40,1,3,1,2,30,2,4,2,0,2,0,3,0,1,0
347,20030112022115,2,529,43,1,1,1,1,48,1,4,5,0,3,0,1,0,0,1
348,20030112022120,2,460,43,1,0,1,1,52,1,4,4,0,3,0,0,0,0,1
349,20030112022121,2,570,39,1,0,1,1,54,2,4,3,0,1,0,0,0,1,1
350,20030112022141,2,505,41,1,2,1,1,35,1,4,6,0,2,0,2,0,0,1
353,20030112022185,2,412,43,1,2,3,1,41,2,4,4,0,3,0,2,1,1,1
354,20030112022187,2,285,40,1,3,1,1,31,1,4,3,0,2,0,3,0,0,1
355,20030112022192,2,480,43,1,2,3,1,40,2,1,6,0,3,0,2,1,1,1
357,20030112022211,2,454,40,2,0,3,1,59,2,2,6,0,2,1,0,1,1,1
359,20030112022225,2,500,40,1,0,3,1,58,2,4,3,0,2,0,0,1,1,1
363,20030112022264,2,340,43,1,3,1,1,54,1,4,3,0,3,0,3,0,0,1
364,20030112022273,2,240,44,1,2,1,2,41,2,3,3,0,4,0,2,0,1,0
368,20030112022294,2,680,44,1,2,1,1,47,2,4,6,0,4,0,2,0,1,1
369,20030112022297,2,569,43,1,0,3,1,23,2,4,4,0,3,0,0,1,1,1
371,20030112022305,2,390,43,1,2,1,1,41,2,2,3,0,3,0,2,0,1,1
372,20030112022312,2,564,39,2,0,1,1,47,2,4,3,0,1,1,0,0,1,1
375,20030112022334,2,280,40,1,2,1,2,49,2,4,2,0,2,0,2,0,1,0
377,20030112022366,2,590,39,5,2,3,1,38,2,1,5,0,1,3,2,1,1,1
378,20030112022379,2,240,39,1,3,1,1,31,2,4,6,0,1,0,3,0,1,1
384,20030112022424,2,583,35,1,1,1,1,47,1,4,6,0,0,0,1,0,0,1
385,20030112022433,2,490,38,2,0,3,1,54,1,4,6,0,0,1,0,1,0,1
388,20030112022467,2,540,41,1,3,1,1,46,1,4,5,0,2,0,3,0,0,1
389,20030112022472,2,1180,46,1,1,1,1,29,1,2,6,0,4,0,1,0,0,1
391,20030112022504,2,555,43,1,0,3,1,32,2,4,4,0,3,0,0,1,1,1
393,20030112022511,2,539,45,1,0,1,1,41,1,4,4,0,4,0,0,0,0,1
394,20030112022517,2,564,43,2,3,1,1,28,1,3,4,0,3,1,3,0,0,1
395,20030112022527,2,433,44,1,0,3,1,46,2,4,2,0,4,0,0,1,1,1
396,20030112022529,2,510,44,7,0,1,1,26,2,5,2,0,4,3,0,0,1,1
397,20030112022538,2,450,42,1,3,1,1,38,1,2,6,0,2,0,3,0,0,1
400,20030112022561,2,435,43,2,1,3,1,33,2,5,4,0,3,1,1,1,1,1
401,20030112022564,2,390,44,1,1,1,1,40,2,3,5,0,4,0,1,0,1,1
402,20030112022571,2,475,39,4,1,3,1,33,2,4,2,0,1,2,1,1,1,1
403,20030112022579,2,285,43,1,2,1,2,32,2,4,5,0,3,0,2,0,1,0
406,20030112022623,2,535,44,1,0,1,1,31,2,5,4,0,4,0,0,0,1,1
412,20030112022681,2,690,43,1,1,1,1,38,1,4,5,0,3,0,1,0,0,1
414,20030112022700,2,580,39,2,1,3,1,47,2,4,6,0,1,1,1,1,1,1
415,20030112022710,2,480,43,2,0,3,1,34,1,4,3,0,3,1,0,1,0,1
