,TUCASEID,LEJF_11,LEJF_12,LEJF_13,LEJF_14
692,20170201171598,-1,-1,-1,-1
693,20170201171602,-1,-1,-1,-1
694,20170201171612,-1,-1,-1,-1
695,20170201171616,-1,-1,-1,-1
696,20170201171620,1,1,3,1
697,20170201171651,1,1,5,2
698,20170201171661,-1,-1,-1,-1
699,20170201171663,-1,-1,-1,-1
700,20170201171664,-1,-1,-1,-1
701,20170201171665,2,-1,-1,-1
702,20170201171667,-1,-1,-1,-1
703,20170201171677,-1,-1,-1,-1
704,20170201171688,2,-1,-1,-1
705,20170201171697,-1,-1,-1,-1
706,20170201171698,-1,-1,-1,-1
707,20170201171704,1,2,1,2
708,20170201171711,-1,-1,-1,-1
709,20170201171743,-1,-1,-1,-1
710,20170201171749,-1,-1,-1,-1
711,20170201171763,-1,-1,-1,-1
712,20170201171767,-1,-1,-1,-1
713,20170201171771,-1,-1,-1,-1
714,20170201171775,1,1,1,2
715,20170201171780,-1,-1,-1,-1
716,20170201171782,-1,-1,-1,-1
717,20170201171785,1,1,5,2
718,20170201171787,-1,-1,-1,-1
719,20170201171796,-1,-1,-1,-1
720,20170201171799,-1,-1,-1,-1
721,20170201171810,-1,-1,-1,-1
722,20170201171811,1,2,1,2
723,20170201171815,-1,-1,-1,-1
724,20170201171840,-1,-1,-1,-1
725,20170201171852,-1,-1,-1,-1
726,20170201171864,-1,-1,-1,-1
727,20170201171869,1,1,2,1
728,20170201171870,-1,-1,-1,-1
729,20170201171878,1,2,1,2
730,20170201171891,1,1,3,1
731,20170201171895,-1,-1,-1,-1
732,20170201171896,-1,-1,-1,-1
