,personid,year_week,expgroup,perform1,Selected,age,tenure,grosswage,children,bedroom,commute,men,married,volunteer,high_educ
167,31888,201019.0,0.0,1.6026639,1,27.0,23.0,3.249639,yes,yes,180.0,0.0,1.0,1.0,0.0
168,31888,201020.0,0.0,1.7254441,1,27.0,23.0,3.249639,yes,yes,180.0,0.0,1.0,1.0,0.0
169,31888,201021.0,0.0,1.7586824,1,27.0,23.0,3.249639,yes,yes,180.0,0.0,1.0,1.0,0.0
170,31888,201022.0,0.0,1.482599,1,27.0,23.0,3.249639,yes,yes,180.0,0.0,1.0,1.0,0.0
171,31888,201023.0,0.0,0.7011797,1,27.0,23.0,3.249639,yes,yes,180.0,0.0,1.0,1.0,0.0
172,31888,201024.0,0.0,1.4789597,1,27.0,23.0,3.249639,yes,yes,180.0,0.0,1.0,1.0,0.0
173,31888,201025.0,0.0,0.28635034,1,27.0,23.0,3.249639,yes,yes,180.0,0.0,1.0,1.0,0.0
174,31888,201026.0,0.0,0.58710694,1,27.0,23.0,3.249639,yes,yes,180.0,0.0,1.0,1.0,0.0
175,31888,201027.0,0.0,1.3392285,1,27.0,23.0,3.249639,yes,yes,180.0,0.0,1.0,1.0,0.0
176,31888,201028.0,0.0,1.3498656,1,27.0,23.0,3.249639,yes,yes,180.0,0.0,1.0,1.0,0.0
177,31888,201029.0,0.0,1.1749057,1,27.0,23.0,3.249639,yes,yes,180.0,0.0,1.0,1.0,0.0
178,31888,201030.0,0.0,1.3003197,1,27.0,23.0,3.249639,yes,yes,180.0,0.0,1.0,1.0,0.0
179,31888,201031.0,0.0,2.387682,1,27.0,23.0,3.249639,yes,yes,180.0,0.0,1.0,1.0,0.0
180,31888,201032.0,0.0,1.0478023,1,27.0,23.0,3.249639,yes,yes,180.0,0.0,1.0,1.0,0.0
181,31888,201033.0,0.0,1.0102204,1,27.0,23.0,3.249639,yes,yes,180.0,0.0,1.0,1.0,0.0
182,31888,201034.0,0.0,1.2803319,1,27.0,23.0,3.249639,yes,yes,180.0,0.0,1.0,1.0,0.0
183,31888,201035.0,0.0,0.9962656,1,27.0,23.0,3.249639,yes,yes,180.0,0.0,1.0,1.0,0.0
184,31888,201036.0,0.0,1.3298982,1,27.0,23.0,3.249639,yes,yes,180.0,0.0,1.0,1.0,0.0
185,31888,201037.0,0.0,-0.13115346,1,27.0,23.0,3.249639,yes,yes,180.0,0.0,1.0,1.0,0.0
186,31888,201038.0,0.0,1.6825132,1,27.0,23.0,3.249639,yes,yes,180.0,0.0,1.0,1.0,0.0
187,31888,201039.0,0.0,1.3139325,1,27.0,23.0,3.249639,yes,yes,180.0,0.0,1.0,1.0,0.0
188,31888,201040.0,0.0,0.4027963,1,27.0,23.0,3.249639,yes,yes,180.0,0.0,1.0,1.0,0.0
189,31888,201041.0,0.0,-0.21496364,1,27.0,23.0,3.249639,yes,yes,180.0,0.0,1.0,1.0,0.0
190,31888,201042.0,0.0,0.3778218,1,27.0,23.0,3.249639,yes,yes,180.0,0.0,1.0,1.0,0.0
191,31888,201043.0,0.0,1.2843945,1,27.0,23.0,3.249639,yes,yes,180.0,0.0,1.0,1.0,0.0
192,31888,201044.0,0.0,1.067448,1,27.0,23.0,3.249639,yes,yes,180.0,0.0,1.0,1.0,0.0
193,31888,201045.0,0.0,1.179872,1,27.0,23.0,3.249639,yes,yes,180.0,0.0,1.0,1.0,0.0
194,31888,201046.0,0.0,-1.1288149,1,27.0,23.0,3.249639,yes,yes,180.0,0.0,1.0,1.0,0.0
195,31888,201047.0,0.0,0.40508822,1,27.0,23.0,3.249639,yes,yes,180.0,0.0,1.0,1.0,0.0
196,31888,201048.0,0.0,0.39481342,1,27.0,23.0,3.249639,yes,yes,180.0,0.0,1.0,1.0,0.0
197,31888,201049.0,0.0,0.45936036,1,27.0,23.0,3.249639,yes,yes,180.0,0.0,1.0,1.0,0.0
198,31888,201050.0,0.0,0.6309621,1,27.0,23.0,3.249639,yes,yes,180.0,0.0,1.0,1.0,0.0
199,31888,201051.0,0.0,0.5471315,1,27.0,23.0,3.249639,yes,yes,180.0,0.0,1.0,1.0,0.0
200,31888,201052.0,0.0,0.1785915,1,27.0,23.0,3.249639,yes,yes,180.0,0.0,1.0,1.0,0.0
201,31888,201053.0,0.0,0.3625399,1,27.0,23.0,3.249639,yes,yes,180.0,0.0,1.0,1.0,0.0
202,31888,201101.0,0.0,1.2230432,1,27.0,23.0,3.249639,yes,yes,180.0,0.0,1.0,1.0,0.0
203,31888,201102.0,0.0,0.8961274,1,27.0,23.0,3.249639,yes,yes,180.0,0.0,1.0,1.0,0.0
204,31888,201103.0,0.0,1.2943884,1,27.0,23.0,3.249639,yes,yes,180.0,0.0,1.0,1.0,0.0
205,31888,201104.0,0.0,0.81000495,1,27.0,23.0,3.249639,yes,yes,180.0,0.0,1.0,1.0,0.0
206,31888,201105.0,0.0,-0.20464815,1,27.0,23.0,3.249639,yes,yes,180.0,0.0,1.0,1.0,0.0
207,31888,201106.0,0.0,1.1706231,1,27.0,23.0,3.249639,yes,yes,180.0,0.0,1.0,1.0,0.0
208,31888,201107.0,0.0,0.9832553,1,27.0,23.0,3.249639,yes,yes,180.0,0.0,1.0,1.0,0.0
209,31888,201108.0,0.0,0.92210734,1,27.0,23.0,3.249639,yes,yes,180.0,0.0,1.0,1.0,0.0
210,31888,201109.0,0.0,0.76771724,1,27.0,23.0,3.249639,yes,yes,180.0,0.0,1.0,1.0,0.0
211,31888,201110.0,0.0,0.14267866,1,27.0,23.0,3.249639,yes,yes,180.0,0.0,1.0,1.0,0.0
212,31888,201111.0,0.0,1.1938269,1,27.0,23.0,3.249639,yes,yes,180.0,0.0,1.0,1.0,0.0
213,31888,201112.0,0.0,1.2949909,1,27.0,23.0,3.249639,yes,yes,180.0,0.0,1.0,1.0,0.0
214,31888,201113.0,0.0,1.4137897,1,27.0,23.0,3.249639,yes,yes,180.0,0.0,1.0,1.0,0.0
215,31888,201114.0,0.0,1.0019362,1,27.0,23.0,3.249639,yes,yes,180.0,0.0,1.0,1.0,0.0
216,31888,201115.0,0.0,0.38019502,1,27.0,23.0,3.249639,yes,yes,180.0,0.0,1.0,1.0,0.0
217,31888,201116.0,0.0,1.7121528,1,27.0,23.0,3.249639,yes,yes,180.0,0.0,1.0,1.0,0.0
218,31888,201117.0,0.0,0.4057721,1,27.0,23.0,3.249639,yes,yes,180.0,0.0,1.0,1.0,0.0
219,31888,201118.0,0.0,0.41707268,1,27.0,23.0,3.249639,yes,yes,180.0,0.0,1.0,1.0,0.0
220,31888,201119.0,0.0,0.9945763,1,27.0,23.0,3.249639,yes,yes,180.0,0.0,1.0,1.0,0.0
221,31888,201120.0,0.0,0.7184522,1,27.0,23.0,3.249639,yes,yes,180.0,0.0,1.0,1.0,0.0
222,31888,201121.0,0.0,0.06580524,1,27.0,23.0,3.249639,yes,yes,180.0,0.0,1.0,1.0,0.0
223,31888,201122.0,0.0,0.46030486,1,27.0,23.0,3.249639,yes,yes,180.0,0.0,1.0,1.0,0.0
224,31888,201123.0,0.0,0.26972103,1,27.0,23.0,3.249639,yes,yes,180.0,0.0,1.0,1.0,0.0
225,31888,201124.0,0.0,-0.01635623,1,27.0,23.0,3.249639,yes,yes,180.0,0.0,1.0,1.0,0.0
